Artist Name,Sale Location,Genre,Event Sheet,Venue Type,Link to Tour(artist website),Ticket Agent(s) Tour Link (ticketmaster artist link),GA Section(does venue has general section),Team Member,Reports Completed,First Presale (first presale event date),Gen Sale (first general sale date),Ticktok Followers,Spotify Listeners,Instagram followers,Bandsintown Followors,90-DAYS GROWTH Percentage,IG engagment rate
Bruno Mars,USA-TicketMaster,Pop,eventsheeet,Stadium,Bruno Mars,https://brunomars.lnk.to/tourdatesAW/tymhf,FALSE,,,Presale happening now,04/15/2026,15.6M,79.19M,42.69M,8.75M,,4.23%
Michelle Wolf,,Comedy,,,https://michelleisawolf.com,,,,,,,381.9K,2.77K,962.39K,11.84K,,0.28%
Charlie Wilson,,"R&B, Funk & Soul",,,,,,,,,,779.2K,1.18M,1.18M,298.36K,,0.41%
